Time,Speed (m/s)
0.0,0.0
0.01,0.0
0.02,0.1
0.03,0.2
0.04,0.2
0.05,0.2
0.06,0.3
0.07,0.3
0.08,0.3
0.09,0.3
0.1,0.3
0.11,0.3
0.12,0.4
0.13,0.5
0.14,0.6
0.15,0.7
0.16,0.8
0.17,0.9
0.18,0.9
0.19,1.0
0.2,1.1
0.21,1.1
0.22,1.1
0.23,1.1
0.24,1.2
0.25,1.3
0.26,1.3
0.27,1.4
0.28,1.4
0.29,1.5
0.3,1.5
0.31,1.5
0.32,1.5
0.33,1.5
0.34,1.5
0.35,1.6
0.36,1.7
0.37,1.8
0.38,1.9
0.39,1.9
0.4,1.9
0.41,2.0
0.42,2.1
0.43,2.1
0.44,2.2
0.45,2.3
0.46,2.3
0.47,2.4
0.48,2.5
0.49,2.5
0.5,2.6
0.51,2.7
0.52,2.7
0.53,2.8
0.54,2.9
0.55,3.0
0.56,3.0
0.57,3.1
0.58,3.2
0.59,3.2
0.6,3.3
0.61,3.4
0.62,3.5
0.63,3.5
0.64,3.5
0.65,3.6
0.66,3.6
0.67,3.7
0.68,3.7
0.69,3.8
0.7,3.9
0.71,4.0
0.72,4.1
0.73,4.2
0.74,4.2
0.75,4.2
0.76,4.3
0.77,4.3
0.78,4.3
0.79,4.4
0.8,4.5
0.81,4.6
0.82,4.7
0.83,4.8
0.84,4.8
0.85,4.9
0.86,5.0
0.87,5.0
0.88,5.1
0.89,5.2
0.9,5.3
0.91,5.3
0.92,5.3
0.93,5.3
0.94,5.4
0.95,5.4
0.96,5.5
0.97,5.5
0.98,5.6
0.99,5.7
1.0,5.7
1.01,5.7
1.02,5.7
1.03,5.7
1.04,5.7
1.05,5.7
1.06,5.7
1.07,5.6
1.08,5.6
1.09,5.6
1.1,5.6
1.11,5.5
1.12,5.4
1.13,5.4
1.14,5.3
1.15,5.2
1.16,5.2
1.17,5.1
1.18,5.1
1.19,5.1
1.2,5.0
1.21,5.0
1.22,4.9
1.23,4.9
1.24,4.9
1.25,4.9
1.26,4.8
1.27,4.8
1.28,4.7
1.29,4.6
1.3,4.6
1.31,4.5
1.32,4.5
1.33,4.4
1.34,4.4
1.35,4.4
1.36,4.4
1.37,4.4
1.38,4.4
1.39,4.3
1.4,4.3
1.41,4.3
1.42,4.3
1.43,4.3
1.44,4.3
1.45,4.3
1.46,4.3
1.47,4.3
1.48,4.2
1.49,4.2
1.5,4.1
1.51,4.1
1.52,4.1
1.53,4.1
1.54,4.1
1.55,4.1
1.56,4.1
1.57,4.1
1.58,4.0
1.59,3.9
1.6,3.9
1.61,3.9
1.62,3.9
1.63,3.8
1.64,3.7
1.65,3.6
1.66,3.5
1.67,3.5
1.68,3.4
1.69,3.4
